legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Dlamini D.D.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Dlungwane M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Alternate Member
Dlungwane M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Dlungwane M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Dlungwane M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
Dlungwane M.E.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Dlungwane M.E.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Dlungwane M.E.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Whip
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Committee Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Committee Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Alternate Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Alternate Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Alternate Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Alternate Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Alternate Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Alternate Member
Downs Jo-Ann M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Downs Jo-Ann M,Province,KwaZulu-Natal,Political Party,African Christian Democratic Party (ACDP),Party Member
Downs Jo-Ann M,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Dube E.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Dube E.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Dube E.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Alternate Member
Dube E.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Alternate Member
Dube E.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Dube E.V.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Dube E.V.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Dube E.V.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Whip
Dube N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Dube N.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Dube N.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Duma S.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Duma S.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Duma S.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Loc Gvt & Traditional Affairs,Alternate Member
Duma S.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Duma S.A.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Duma S.A.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Frazer M.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Committee Member
Frazer M.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Frazer M.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Chair
Frazer M.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
Frazer M.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Alternate Member
Frazer M.C.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Frazer M.C.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Alternate Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Alternate Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Alternate Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Loc Gvt & Traditional Affairs,Alternate Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Alternate Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Alternate Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Alternate Member
Gabela L.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Committee Member
Gabela L.S.,Province,KwaZulu-Natal,Political Party,Congress of the People (COPE),Party Member
Gabela L.S.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Gcabashe S.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Alternate Member
Gcabashe S.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Gcabashe S.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Alternate Member
Gcabashe S.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Gcabashe S.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Gcabashe S.J.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Gcabashe S.J.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Chair of Committees
Gcabashe S.J.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Govender L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Govender L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Govender L.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Govender L.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Govender M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Alternate Member
Govender M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Govender M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Alternate Member
Govender M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
Govender M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Govender M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Govender M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Chair
Govender M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Govender M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
Govender M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Govender M.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Govender M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Govender M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Govender P,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Govender P,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Alternate Member
Govender P,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Alternate Member
Govender P,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Alternate Member
Govender P,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Alternate Member
Govender P,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Gwala M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Gwala M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Alternate Member
Gwala M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Loc Gvt & Traditional Affairs,Alternate Member
Gwala M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Gwala M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Alternate Member
Gwala M.B.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Gwala M.B.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Leader of the opposition
Gwala M.B.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Hlongwa L.X.H.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Hlongwa L.X.H.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Chair
Hlongwa L.X.H.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Committee Member
Hlongwa L.X.H.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Alternate Member
Hlongwa L.X.H.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Committee Member
Hlongwa L.X.H.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Hlongwa L.X.H.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Hlongwa L.X.H.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Johnson L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Johnson L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Alternate Member
Johnson L.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Johnson L.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Chair of Committees
