"OLD EVOLUTION 
CODE",Constituency Head,Name,Location,Province,Description,Area,Group,GEOGRAPHICAL NAME,WARDS
-,Mmoba Solomon Seshoka,DA Constituency Area: Limpopo North Central (Giyani / Greater Letaba / Thulamela),North Central,Limpopo,Wards and municipalities in area: Giyani / Greater Letaba / Thulamela,LIM,LIMMP,North Central,Giyani / Greater Letaba / Thulamela
-,Christiaan Frederik Beyers Smit,DA Constituency Area: Limpopo South Central (Mokgalakwena / Mookgopong / Aganang),South Central,Limpopo,Wards and municipalities in area: Mokgalakwena / Mookgopong / Aganang,LIM,LIMMP,South Central,Mokgalakwena / Mookgopong / Aganang
-,Phillip Langa Bodlani,DA Constituency Area: Sekhukhune East (Fetagomo / Tubatse / Lepelle Nkumpi),Sekhukhune East,Limpopo,Wards and municipalities in area: Fetagomo / Tubatse / Lepelle Nkumpi,LIM,LIMMPL,Sekhukhune East,Fetagomo / Tubatse / Lepelle Nkumpi
-,Katlego Suzan Phala,DA Constituency Area: Limpopo North West (DASO / Blouberg / Molemole),North West,Limpopo,Wards and municipalities in area: DASO / Blouberg / Molemole,LIM,LIMMPL,North West,DASO / Blouberg / Molemole
702JS,Jacobus Frederik Smalle,DA Constituency Area: Limpopo Far North (Musina / Makhado / Mutale),Far North,Limpopo,Wards and municipalities in area: Musina / Makhado / Mutale,LIM,LIMMPL,Far North,Musina / Makhado / Mutale
-,Jacobus Frederik Smalle,DA Constituency Area: Polokwane (Polokwane),Polokwane,Limpopo,Wards and municipalities in area: Polokwane,,LIMMPL,Polokwane,Polokwane
769LBPKS,Tarnia Baker,DA Constituency Area: Pixley ka Seme,Pixley ka Seme,Mpumalanga,,MPU,MPUMP,Pixley ka Seme,
767LBM,Tarnia Baker,DA Constituency Area: Mkhondo ,Mkhondo ,Mpumalanga,,MPU,MPUMP,Mkhondo ,
763ABM,Sonja Boshoff,DA Constituency Area: Mbombela,Mbombela,Mpumalanga,,MPU,MPUMP,Mbombela,
780VMN,Sonja Boshoff,DA Constituency Area: Nkomazi,Nkomazi,Mpumalanga,,MPU,MPUMP,Nkomazi,
787WWT,Henro Kruger,DA Constituency Area: Thembisile Hani,Thembisile Hani,Mpumalanga,,MPU,MPUMP,Thembisile Hani,
786WWJS,Henro Kruger,DA Constituency Area: Dr JS Moroka,Dr JS Moroka,Mpumalanga,,MPU,MPUMP,Dr JS Moroka,
774JMGM,James Masango,DA Constituency Area: Govan Mbeki,Govan Mbeki,Mpumalanga,,MPU,MPUMP,Govan Mbeki,
775JML,James Masango,DA Constituency Area: Lekwa,Lekwa,Mpumalanga,,MPU,MPUMP,Lekwa,
762ABTC,Farhat Essack,DA Constituency Area: Thaba Chweu,Thaba Chweu,Mpumalanga,,MPU,MPUMP,Thaba Chweu,
779VMB,Farhat Essack,DA Constituency Area: Bushbuckridge,Bushbuckridge,Mpumalanga,,MPU,MPUMP,Bushbuckridge,
760ABST,Anthony Benadie,DA Constituency Area: Steve Tshwete ,Steve Tshwete ,Mpumalanga,,MPU,MPUMPL,Steve Tshwete ,
761ABE,Anthony Benadie,DA Constituency Area: Emakhazeni,Emakhazeni,Mpumalanga,,MPU,MPUMPL,Emakhazeni,
781VMU,Bosman Grobler,DA Constituency Area: Umjindi,Umjindi,Mpumalanga,,MPU,MPUMPL,Umjindi,
766LBAL,Bosman Grobler,DA Constituency Area: Albert Luthuli,Albert Luthuli,Mpumalanga,,MPU,MPUMPL,Albert Luthuli,
768LBM,Bosman Grobler,DA Constituency Area: Msukaligwa,Msukaligwa,Mpumalanga,,MPU,MPUMPL,Msukaligwa,
785WWE,Jane Sithole,DA Constituency Area: Emalahleni,Emalahleni,Mpumalanga,,MPU,MPUMPL,Emalahleni,
772JMDM,Jane Sithole,DA Constituency Area: Victor Khanye < Delmas >,Victor Khanye < Delmas >,Mpumalanga,,MPU,MPUMPL,Victor Khanye < Delmas >,
773JMD,Jane Sithole,DA Constituency Area: Dipaliseng,Dipaliseng,Mpumalanga,,MPU,MPUMPL,Dipaliseng,
803AG,Allen Grootboom,DA Constituency Area: Diamond North (Dikgatlong / Siyancuma),Diamond North,Northern Cape,Wards and municipalities in area: Dikgatlong / Siyancuma,NC,NCMP,Diamond North,Dikgatlong / Siyancuma
806KDK,Karen De Kock,DA Constituency Area: Central South (Renosterberg / Thembelihle),Central South,Northern Cape,Wards and municipalities in area: Renosterberg / Thembelihle,NC,NCMP,Central South,Renosterberg / Thembelihle
807DS,Dirk Jan Stubbe,DA Constituency Area: Kimberley,Kimberley,Northern Cape,Wards and municipalities in area: Traditional Wards,NC,NCMP,Kimberley,Traditional Wards
-,Veronica Van Dyk,DA Constituency Area: Namakwaland (Nama-Khoi / Khai-Ma / Kamiesberg / Richtersveld),Namakwaland,Northern Cape,Wards and municipalities in area: Nama-Khoi / Khai-Ma / Kamiesberg / Richtersveld,NC,NCMP,Namakwaland,Nama-Khoi / Khai-Ma / Kamiesberg / Richtersveld
801WF,Willem Faber,DA Constituency Area: Diamond South (Magareng / Phokwane),Diamond South,Northern Cape,Wards and municipalities in area: Magareng / Phokwane,NC,NCMP,Diamond South,Magareng / Phokwane
-,Boitumelo Maxwell Babuseng,DA Constituency Area: Lohatla (Tsantsabane / Kgatelopele),Lohatla,Northern Cape,Wards and municipalities in area: Tsantsabane / Kgatelopele,NC,NCMPL,Lohatla,Tsantsabane / Kgatelopele
-,Isak Cornelius Christiaan Fritz,DA Constituency Area: Hantam (Hantam / Karoo-Hoogland),Hantam,Northern Cape,Wards and municipalities in area: Hantam / Karoo-Hoogland,NC,NCMPL,Hantam,Hantam / Karoo-Hoogland
805AL,Andrew Louw,DA Constituency Area: Sol-Plaatjie,Sol-Plaatjie,Northern Cape,Wards and municipalities in area: Non-Traditional Wards,NC,NCMPL,Sol-Plaatjie,Non-Traditional Wards
-,Harold Mcgluwa,DA Constituency Area: Benede-Orange (Khara Hais / Mier / Kai !Garib),Benede-Orange,Northern Cape,Wards and municipalities in area: Khara Hais / Mier / Kai !Garib,NC,NCMPL,Benede-Orange,Khara Hais / Mier / Kai !Garib
808IO,Ismail Obaray,DA Constituency Area: Central North (Kheis / Siyathemba / Kareeberg),Central North,Northern Cape,Wards and municipalities in area: Kheis / Siyathemba / Kareeberg,NC,NCMPL,Central North,Kheis / Siyathemba / Kareeberg
-,Safiyia Hajeera Stanfley,DA Constituency Area: Bo-Karoo (Emthanjeni / Umsobomvu / Ubuntu),Bo-Karoo,Northern Cape,Wards and municipalities in area: Emthanjeni / Umsobomvu / Ubuntu,NC,NCMPL,Bo-Karoo,Emthanjeni / Umsobomvu / Ubuntu
-,Pule Isaac Thole,DA Constituency Area: Kalahari (Gamagara / Ga-Segonyana / Joe-Morolong),Kalahari,Northern Cape,Wards and municipalities in area: Gamagara / Ga-Segonyana / Joe-Morolong,NC,NCMPL,Kalahari,Gamagara / Ga-Segonyana / Joe-Morolong
-,Leon Basson,DA Constituency Area: Madibeng [Brits]   ,Madibeng [Brits]   ,North West,Wards and municipalities in area: NW372 - Madibeng [Brits]   ,NW,NWMP,Madibeng [Brits]   ,NW372 - Madibeng [Brits]   
858JM,Joe Mcgluwa,DA Constituency Area: Ratlou [Setlagole] / Tswaing [Delareyville] / Mafikeng [Mahikeng],Ratlou [Setlagole] / Tswaing [Delareyville] / Mafikeng [Mahikeng],North West,Wards and municipalities in area: NW381 - Ratlou [Setlagole]  /   NW382 - Tswaing [Delareyville]  /    NW383 - Mafikeng [Mahikeng],NW,NWMP,Ratlou [Setlagole] / Tswaing [Delareyville] / Mafikeng [Mahikeng],NW381 - Ratlou [Setlagole]  /   NW382 - Tswaing [Delareyville]  /    NW383 - Mafikeng [Mahikeng]
857WR,Winston Rabotapi,DA Constituency Area: Moretele [Makapanstad] / Moses Kotane [Mogwase],Moretele [Makapanstad] / Moses Kotane [Mogwase],North West,Wards and municipalities in area: NW371 - Moretele [Makapanstad]  /  NW375 - Moses Kotane [Mogwase],NW,NWMP,Moretele [Makapanstad] / Moses Kotane [Mogwase],NW371 - Moretele [Makapanstad]  /  NW375 - Moses Kotane [Mogwase]
-,Johni Steenkamp,DA Constituency Area: Lekwa-Teemane [Christiana] / Maquassi Hills [Wolmaransstad] ,Lekwa-Teemane [Christiana] / Maquassi Hills [Wolmaransstad] ,North West,Wards and municipalities in area: NW396 - Lekwa-Teemane [Christiana] /   NW404 - Maquassi Hills [Wolmaransstad] ,NW,NWMP,Lekwa-Teemane [Christiana] / Maquassi Hills [Wolmaransstad] ,NW396 - Lekwa-Teemane [Christiana] /   NW404 - Maquassi Hills [Wolmaransstad] 
855JT,Juanita Terblanche,DA Constituency Area: Ventersdorp [Ventersdorp] / Tlokwe [Potchefstroom]  ,Ventersdorp [Ventersdorp] / Tlokwe [Potchefstroom]  ,North West,Wards and municipalities in area: NW401 - Ventersdorp [Ventersdorp]  /   NW402 - Tlokwe [Potchefstroom]  ,NW,NWMP,Ventersdorp [Ventersdorp] / Tlokwe [Potchefstroom]  ,NW401 - Ventersdorp [Ventersdorp]  /   NW402 - Tlokwe [Potchefstroom]  
853HG,Herman Groenewald,DA Constituency Area: Rustenburg [Rustenburg] / Kgetlengrivier [Koster],Rustenburg [Rustenburg] / Kgetlengrivier [Koster],North West,Wards and municipalities in area: NW373 - Rustenburg [Rustenburg]  /  NW374 - Kgetlengrivier [Koster],NW,NWMP,Rustenburg [Rustenburg] / Kgetlengrivier [Koster],NW373 - Rustenburg [Rustenburg]  /  NW374 - Kgetlengrivier [Koster]
-,Tutu Faleni,DA Constituency Area: Mamusa [Schweizer-Reneke] / Greater Taung [Reivilo]  ,Mamusa [Schweizer-Reneke] / Greater Taung [Reivilo]  ,North West,Wards and municipalities in area: NW393 - Mamusa [Schweizer-Reneke]  /    NW394 - Greater Taung [Reivilo]  ,NW,NWMPL,Mamusa [Schweizer-Reneke] / Greater Taung [Reivilo]  ,NW393 - Mamusa [Schweizer-Reneke]  /    NW394 - Greater Taung [Reivilo]  
852CH,Chris Hattingh,DA Constituency Area: Matlosana [Klerksdorp] ,Matlosana [Klerksdorp] ,North West,Wards and municipalities in area: NW403 - Matlosana [Klerksdorp] ,NW,NWMPL,Matlosana [Klerksdorp] ,NW403 - Matlosana [Klerksdorp] 
854SM,SP Motswenyane ,DA Constituency Area: Naledi [Vryburg] / Ganyesa/Pomfret,Naledi [Vryburg] / Ganyesa/Pomfret,North West,Wards and municipalities in area: NW392 - Naledi [Vryburg]  /   NW397 - NW397 Local Municipality [Ganyesa/Pomfret],NW,NWMPL,Naledi [Vryburg] / Ganyesa/Pomfret,NW392 - Naledi [Vryburg]  /   NW397 - NW397 Local Municipality [Ganyesa/Pomfret]
-,Jacqueline Theologo,DA Constituency Area: Ditsobotla [Lichtenburg] / Ramotshere Moiloa [Zeerust],Ditsobotla [Lichtenburg] / Ramotshere Moiloa [Zeerust],North West,Wards and municipalities in area: NW384 - Ditsobotla [Lichtenburg]   /   NW385 - Ramotshere Moiloa [Zeerust],NW,NWMPL,Ditsobotla [Lichtenburg] / Ramotshere Moiloa [Zeerust],NW384 - Ditsobotla [Lichtenburg]   /   NW385 - Ramotshere Moiloa [Zeerust]
903MDV,Derrick America,DA Constituency Area: Laingsburg,Laingsburg,Western Cape,,WC,WCMP,Laingsburg,
935MDV,Derrick America,DA Constituency Area: Prins Albert,Prins Albert,Western Cape,,,,Prins Albert,
906JB,Zelda Jongbloed,DA Constituency Area: Kannaland,Kannaland,Western Cape,,WC,WCMP,Kannaland,
905PR,Thembekile Richard Majola,DA Constituency Area: Kaap-Agulhas,Kaap-Agulhas,Western Cape,,WC,WCMP,Kaap-Agulhas,
941EVB,Thembekile Richard Majola,DA Constituency Area: Swellendam,Swellendam,Western Cape,,,,Swellendam,
901AW,Jaco Londt,DA Constituency Area: Knysna,Knysna,Western Cape,,WC,WCMP,Knysna,
904MS,Jaco Londt,DA Constituency Area: George,George,Western Cape,,,,George,
936EVB,Eugene Jeffrey Von Bradis,DA Constituency Area: Theewaterskloof,Theewaterskloof,Western Cape,,WC,WCMP,Theewaterskloof,
-,Theunis Louis  Botha,"DA Constituency Area: Eden ""C""","Eden ""C""",Western Cape,,WC,WCMPL,"Eden ""C""",
931JVDL,Sharna Gail Fernandez,DA Constituency Area: Beaufort West,Beaufort West,Western Cape,,WC,WCMPL,Beaufort West,
933JH,Denis Joseph,DA Constituency Area: Hessequa,Hessequa,Western Cape,,WC,WCMPL,Hessequa,
,Denis Joseph,"DA Constituency Area: Karoo ""C""","Karoo ""C""",Western Cape,,,,"Karoo ""C""",
934JB,Ivan Henry Meyer,DA Constituency Area: Oudtshoorn,Oudtshoorn,Western Cape,,WC,WCMPL,Oudtshoorn,
937MW,Michael John Cardo,DA Constituency Area: Overstrand,Overstrand,Western Cape,,WC,WCMP,Overstrand,
,Masizole Mnqasela,DA Constituency Area: Overstrand,Overstrand,Western Cape,,WC,WCMPL,Overstrand,
902GVR,Piet Pretorius,DA Constituency Area: Mosselbaai,Mosselbaai,Western Cape,,WC,WCMPL,Mosselbaai,
,Piet Pretorius,"DA Constituency Area: Overberg ""C""","Overberg ""C""",Western Cape,,,,"Overberg ""C""",
932DG,Mireille Mary Wenger,DA Constituency Area: Bitou,Bitou,Western Cape,,WC,WCMPL,Bitou,
922RM,Christian Hans Heinrich Hunsinger,DA Constituency Area: Matzikama,Matzikama,Western Cape,,WC,WCMP,Matzikama,
,Erik Johannes Marais,"DA Constituency Area: Cape Winelands ""C""","Cape Winelands ""C""",Western Cape,,WC,WCMP,"Cape Winelands ""C""",
"926JV
957DDT
958BM",Erik Johannes Marais,DA Constituency Area: Drakenstein,Drakenstein,Western Cape,,WC,WCMP,Drakenstein,
,Thandi Mpambo-Sibhukwana,DA Constituency Area: Drakenstein,Drakenstein,Western Cape,,WC,WCMP,Drakenstein,
924EM,Erik Johannes Marais,DA Constituency Area: Saldanha,Saldanha,Western Cape,,WC,WCMP,Saldanha,
,Thandi Mpambo-Sibhukwana,DA Constituency Area: Saldanha,Saldanha,Western Cape,,WC,WCMP,Saldanha,
925KM,Kobus Marais,DA Constituency Area: Breede Valley,Breede Valley,Western Cape,,WC,WCMP,Breede Valley,
912AVDW,Andricus Pieter Van Der Westhuizen,DA Constituency Area: Stellenbosch,Stellenbosch,Western Cape,,WC,WCMP,Stellenbosch,
921HL,James Vos,DA Constituency Area: Witzenberg,Witzenberg,Western Cape,,WC,WCMP,Witzenberg,
919AR,Letta Matlhodi Maseko,DA Constituency Area: Berg River,Berg River,Western Cape,,WC,WCMPL,Berg River,
923BG,Lorraine Juliette Botha,DA Constituency Area: Cederberg,Cederberg,Western Cape,,WC,WCMPL,Cederberg,
927AB,Anton Wilhelm Bredell,DA Constituency Area: Swartland,Swartland,Western Cape,,WC,WCMPL,Swartland,
911IM,Basil David Kivedo,DA Constituency Area: Langeberg,Langeberg,Western Cape,,WC,WCMPL,Langeberg,
,Anroux Johanna Marais,"DA Constituency Area: West Coast ""C""","West Coast ""C""",Western Cape,,WC,WCMPL,"West Coast ""C""",
953TH,Michael Bagraim,DA Constituency Area: Good Hope,Good Hope,Western Cape,Wards and municipalities in area: 54 55 74 77,WC,WCMP,Good Hope,54 55 74 77
955DP,Anroux Johanna Marais,DA Constituency Area: Tygerberg 1,Tygerberg 1,Western Cape,Wards and municipalities in area: 24 26 27 28 30 31 50,WC,WCMPL,Tygerberg 1,24 26 27 28 30 31 50
956AM,Anroux Johanna Marais,DA Constituency Area: Tygerberg 2,Tygerberg 2,Western Cape,Wards and municipalities in area: 1 2 9 10 12 22 25 70,,,Tygerberg 2,1 2 9 10 12 22 25 70
943SE,Zakhele Njabulo Mbhele,DA Constituency Area: Athlone 2,Athlone 2,Western Cape,Wards and municipalities in area: 42 44,WC,WCMP,Athlone 2,42 44
,Shahid Esau,DA Constituency Area: Athlone 3,Athlone 3,Western Cape,Wards and municipalities in area: 45 46 47,WC,WCMP,Athlone 3,45 46 47
,Archibold Mzuvukile Figlan,DA Constituency Area: N2 Khayelitsha,N2 Khayelitsha,Western Cape,Wards and municipalities in area: 91 93 95 96,WC,WCMP,N2 Khayelitsha,91 93 95 96
,Tandeka Gqada,DA Constituency Area: N2 Khayelitsha,N2 Khayelitsha,Western Cape,Wards and municipalities in area: 92 94 97 98,WC,WCMP,N2 Khayelitsha,92 94 97 98
945LG,Lance William Greyling,DA Constituency Area: iThemba,iThemba,Western Cape,Wards and municipalities in area: 51 52 53 56 57,WC,WCMP,iThemba,51 52 53 56 57
,Geordin Gwyn Hill-Lewis,DA Constituency Area: N2 Greater Philippi,N2 Greater Philippi,Western Cape,Wards and municipalities in area: 33 34 35 36,WC,WCMP,N2 Greater Philippi,33 34 35 36
,Nomafrench Mbombo,DA Constituency Area: N2 Greater Philippi,N2 Greater Philippi,Western Cape,Wards and municipalities in area: 18 87 89 90,WC,WCMPL,N2 Greater Philippi,18 87 89 90
,Gavin Richard Davis,DA Constituency Area: N2 Greater Philippi,N2 Greater Philippi,Western Cape,Wards and municipalities in area: 18 87 89 90,WC,WCMP,N2 Greater Philippi,18 87 89 90
954DS,Wilmot Godfrey James,DA Constituency Area: South Peninsula 1,South Peninsula 1,Western Cape,Wards and municipalities in area: 65 66 67 80 110,WC,WCMP,South Peninsula 1,65 66 67 80 110
,David John Maynier,DA Constituency Area: South Peninsula 2,South Peninsula 2,Western Cape,Wards and municipalities in area: 65 66 67 80 110,WC,WCMP,South Peninsula 2,65 66 67 80 110
915DS,Wilmot Godfrey James,DA Constituency Area: Athlone 1,Athlone 1,Western Cape,Wards and municipalities in area: 48 49 58 59 60,WC,WCMP,Athlone 1,48 49 58 59 60
,David John Maynier,DA Constituency Area: Athlone 2,Athlone 2,Western Cape,Wards and municipalities in area: 48 49 58 59 60,WC,WCMP,Athlone 2,48 49 58 59 60
908DR,Denise Robinson,DA Constituency Area: Blaauwberg / Durbanville 1,Blaauwberg / Durbanville 1,Western Cape,Wards and municipalities in area: 21 23 29 32 105,WC,WCMP,Blaauwberg / Durbanville 1,21 23 29 32 105
910JS,James Selfe,DA Constituency Area: South Peninsula 2,South Peninsula 2,Western Cape,Wards and municipalities in area: 62 63 68 72 73,WC,WCMP,South Peninsula 2,62 63 68 72 73
947DJ,Ricardo Mackenzie,DA Constituency Area: Mitchells Plain 1,Mitchells Plain 1,Western Cape,Wards and municipalities in area: 82 88 99,WC,WCMPL,Mitchells Plain 1,82 88 99
,Phumzile Thelma Van Damme,DA Constituency Area: Mitchells Plain 2,Mitchells Plain 2,Western Cape,Wards and municipalities in area: 75 76 81,WC,WCMP,Mitchells Plain 2,75 76 81
951RL,Cathlene Labuschagne,DA Constituency Area: Oostenbergh South 2,Oostenbergh South 2,Western Cape,Wards and municipalities in area: 11 14 16 17 108,WC,WCMP,Oostenbergh South 2,11 14 16 17 108
914WJ,Albert Theo Fritz,DA Constituency Area: Mitchells Plain 2,Mitchells Plain 2,Western Cape,Wards and municipalities in area: 43 78 79,WC,WCMPL,Mitchells Plain 2,43 78 79
907CL,Rodney Benjamin Lentit,DA Constituency Area: Oostenberg North 1,Oostenberg North 1,Western Cape,Wards and municipalities in area: 3 6 8 111,WC,WCMPL,Oostenberg North 1,3 6 8 111
952PVD,Marian Robin Shinn,DA Constituency Area: Helderberg,Helderberg,Western Cape,Wards and municipalities in area: 15 83 84 100 109,WC,WCMP,Helderberg,15 83 84 100 109
,Bonginkosi Success Madikizela ,DA Constituency Area: Helderberg,Helderberg,Western Cape,Wards and municipalities in area: 85 86,WC,WCMPL,Helderberg,85 86
913LM,Lennit Hendry Max,DA Constituency Area: Oostenberg South 1,Oostenberg South 1,Western Cape,Wards and municipalities in area: 13 19 20 106,WC,WCMPL,Oostenberg South 1,13 19 20 106
950SP,Daniel Plato,DA Constituency Area: Oostenberg North 2,Oostenberg North 2,Western Cape,Wards and municipalities in area: 7 101 102 103,WC,WCMPL,Oostenberg North 2,7 101 102 103
916DM,Beverley Ann Schafer,DA Constituency Area: Blaauwberg / Durbanville 2,Blaauwberg / Durbanville 2,Western Cape,Wards and municipalities in area: 4 5 104 107,WC,WCMPL,Blaauwberg / Durbanville 2,4 5 104 107
946MW,Mark Geoffry Edington Wiley,DA Constituency Area: Deep South,Deep South,Western Cape,Wards and municipalities in area: 61 64 69 71,WC,WCMPL,Deep South,61 64 69 71
, Nceba Ephraim Hinana,DA Constituency Area: N2 Lagunya,N2 Lagunya,Western Cape,Wards and municipalities in area: 37 38 39 40 41,WC,WCMPL,N2 Lagunya,37 38 39 40 41
