Surname,First names,Title,List,Party,Organisation,Place,Position Title,Start Date,End Date
KEKANA,PINKY SHARON, Ms,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
KEKANA,HELLEN BOIKHUTSO, Ms,NW,ANC,National Assembly,North West,Member,2014-05-21,future
KENYE,TANDIWE ELIZABETH, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
KHAWULA,MAKOTI SIBONGILE, Mr,KZN,EFF,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
KHOARAI,LEFU PETER, Mr,FS,ANC,National Assembly,Free State,Member,2014-05-21,future
KHOSA,DALTON HLAMALANI, Mr,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
KHOZA,MAKHOSI BUSISIWE, Dr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
KHOZA,NICHOLOUS PRO, Mr,MP,EFF,National Assembly,Mpumalanga,Member,2014-05-21,future
KHUBISA,NHLANHLAKAYISE MOSES, Mr,National,NFP,National Assembly,,Member,2014-05-21,future
KHUNOU,NTHABISENG PAULINE, Ms,FS,ANC,National Assembly,Free State,Member,2014-05-21,future
KODWA,NCEDISO GOODENOUGH, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
KOHLER,DIANNE, Ms,National,DA,National Assembly,,Member,2014-05-21,future
KOORNHOF,GERHARDUS WILLEM, Dr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
KOPANE,SEMAKALENG PATRICIA, Ms,National,DA,National Assembly,,Member,2014-05-21,future
KOTA-FREDERICKS,ZOLISWA ALBERTINA, Ms,WC,ANC,National Assembly,Western Cape,Member,2014-05-21,future
KRÜGER,HENDRIK CHRISTIAAN CRAFFORD, Mr,MP,DA,National Assembly,Mpumalanga,Member,2014-05-21,future
KRUMBOCK,GREGORY RUDY, Mr,National,DA,National Assembly,,Member,2014-05-21,future
KUBAYI,MMAMOLOKO TRYPHOSA, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
KWANKWA,NQABAYOMZI LAWRENCE SAZISO, Mr,National,UDM,National Assembly,,Member,2014-05-21,future
LANDERS,LUWELLYN TYRONE, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
LEES,ROBERT ALFRED, Mr,National,DA,National Assembly,,Member,2014-05-21,future
LEKOTA,MOSIUOA GERARD PATRICK, Mr,National,COPE,National Assembly,,Member,2014-05-21,future
LESOMA,REGINA MINA MPONTSENG, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
LETSATSI-DUBA,DIPUO BERTHA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
LITCHFIELD-TSHABALALA,KHANYISILE, Ms,GP,EFF,National Assembly,Gauteng,Member,2014-05-21,future
LOLIWE,FEZEKA SISTER, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
LORIMER,JAMES ROBERT BOURNE, Mr,National,DA,National Assembly,,Member,2014-05-21,future
LOTRIET,ANNELIE, Dr,National,DA,National Assembly,,Member,2014-05-21,future
LOUW,ELSABE NATASHA, Ms,National,EFF,National Assembly,,Member,2014-05-21,future
LOVEMORE,ANNETTE THERESA, Ms,EC,DA,National Assembly,Eastern Cape,Member,2014-05-21,future
LUYENGE,ZUKILE, Dr,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
LUZIPO,SAHLULELE, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MAAKE,JEROME JOSEPH, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MABASA,XITLHANGOMA, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MABE,PULENG PETER, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MABE,BERTHA PEACE, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MABIJA,LIVHUHANI, Ms,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MABIKA,MANDLENKOSI SICELO, Mr,KZN,NFP,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MABILO,SOLOMON PATRICK, Mr,NC,ANC,National Assembly,Northern Cape,Member,2014-05-21,future
MABUDAFHASI,THIZWILONDI REJOYCE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MACKAY,GORDON, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
MACKENZIE,CAMERON, Mr,National,DA,National Assembly,,Member,2014-05-21,future
MACPHERSON,DEAN WILLIAM, Mr,KZN,DA,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MADELLA,ANDREW FRANS, Mr,WC,ANC,National Assembly,Western Cape,Member,2014-05-21,future
MADIKIZELA-MANDELA,NOMZAMO WINFRED, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MADISHA,WILLIAM MOTHIPA, Mr,National,COPE,National Assembly,,Member,2014-05-21,future
MADLOPHA,CELIWE QHAMKILE, Dr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MAESELA,PATRICK, Dr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MAFOLO,MAPULE VERONICA, Ms,NW,ANC,National Assembly,North West,Member,2014-05-21,future
MAFU,NOCAWE NONCEDO, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MAGADLA,NOSILIVERE WINIFRED, Mrs,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MAGADZI,DIKELEDI PHILLISTUS, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MAGWANISHE,GRATITUDE, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MAHAMBEHLALA,TANDI, Ms,WC,ANC,National Assembly,Western Cape,Member,2014-05-21,future
MAHLALELA,AMOS FISH, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MAHLANGU,DIKELEDI GLADYS, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MAHLANGU,JABULANI LUKAS, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MAHLOBO,MBANGISENI DAVID, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MAILA,MOLOKO STANFORD ARMOUR, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MAIMANE,MMUSI ALOYSIAS, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
Majeke,Cynthia Nocollege,Ms,EC,UDM,National Assembly,Eastern Cape,Member,2014-05-21,future
MAJOLA,FIKILE ZACHARIAH, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MAJOLA,THEMBEKILE RICHARD, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
MAKHUBELA-MASHELE,LUSIZO SHARON, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MAKONDO,THOMAS, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MAKWETLA,SAMPSON PHATHAKGE, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MALEMA,JULIUS SELLO, Mr,National,EFF,National Assembly,,Member,2014-05-21,future
MALGAS,HOPE HELENE, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
MALULEKE,JOHANNA MMULE, Ms,NW,ANC,National Assembly,North West,Member,2014-05-21,future
MANAMELA,KGWARIDI BUTI, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MANANA,MDUDUZI COMFORT, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MANANA,MILLICENT NTOMBIZODWA SIBONGILE, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MANANA,DUDUZILE PROMISE, Ms,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
MANDELA,ZWELIVELILE MANDLESIZWE DALIBHUNGA, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MANTASHE,PRISCILLA TOZAMA, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
MAPHATSOE,EMMANUEL RAMAOTOANA KEBBY, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
