Party,List,Rank,Name,Surname,Organisation,Position Title,Start Date,End Date,Place Name
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,1,HELEN MERCEDES,AUGUST,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,2,MLIBO,QOBOSHIYANE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,3,GODFREY PHUMULO,MASUALLE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,4,THANDISWA LINNEN,MARAWU,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,5,SAKHUMZI STOFFELS,SOMYO,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,6,PEMMY CASTELINA PAMELA,MAJODINA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,7,MANDLA,MAKUPULA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,8,PHOEBE NOXOLO,ABRAHAM-NTANTISO,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,9,FIKILE DEVILLIERS,XASA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,10,KOLISWA CLARIBELL,FIHLANI-MAGWAXAZA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,11,MZOLELI,MRARA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,12,MXOLISI MACKSON,DIMAZA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,13,FUNDILE DAVID,GADE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,14,XOLILE EDMUND,NQATHA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,15,NONCEBA,KONTSIWE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,16,PUMZA PATRICIA,DYANTYI,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,17,NOMVUZO,MLOMBILE-CINGO,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,18,CHRISTIAN,MARTIN,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,19,NOMADEWUKA NANCY,SIHLWAYI,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,20,SKUTA ALFRED,MTSI,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,21,WEZIWE,TIKANA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,22,MICHAEL MASONWABE,PETER,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,23,NOXOLO,KIVIET,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,24,SICELO HAMILTON,GQOBANA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,25,PHUMEZA THEODORA,MPUSHE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,26,TONY,DUBA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,27,NTOMBIZODWA TAMARA,XHANTI,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,28,NCWADI CHRISTOPHER,TUNYISWA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,29,NTOMBOVUYO SILBEROSE,NKOPANE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,30,XOLA ANDERSON,PAKATI,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,31,NOMAWETU,GQIBA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,32,CECIL MLUNGISI,NDAMASE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,33,NONKOSI QUEENIE,MVANA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,34,VUYANI MORGAN,LIMBA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,35,BULELWA,TUNYISWA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,36,MLULEKI,DLELANGA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,37,FEZEKA,NKOMONYE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,38,MZUYANDA,SOKUJIKA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,39,ALICE NOMVULA,PONCO,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,40,MPUMELELO,SAZIWA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,41,MARY BERNADETTE,NDLANGISA                                    ,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,42,MNINAWA LEWIS,NYUSILE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,43,DEBORAH NOMALINDE,KOMOSE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,44,PHILA VICTOR,NKAYI,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Eastern Cape,45,ESTHER NOMXOLISI,MTITSHANA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
CONGRESS  OF THE PEOPLE,Provincial: Eastern Cape,1,LIEVIE KEAN,SHARPLEY,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,1,ROLAND ATHOL PRICE,TROLLIP,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,2,VELISWA,MVENYA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,3,ROBERT SYKES,STEVENSON,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,4,PETER EDMUND,VAN VUUREN,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,5,VICKY,KNOETZE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,6,ROSS KRIEL,PURDON,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,7,MARSHALL ROBERTO,VON BUCHENRODER,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,8,JACOBUS PETRUS JOHANNES,BOTHA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,9,CELESTE HELOISE,BARKER,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
DEMOCRATIC ALLIANCE,Provincial: Eastern Cape,10,DORAH NOKONWABA,MATIKINCA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
ECONOMIC FREEDOM FIGHTERS,Provincial: Eastern Cape,1,THEMBA,WELE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
ECONOMIC FREEDOM FIGHTERS,Provincial: Eastern Cape,2,SIYABULELA MCANDY,PETER,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
UNITED DEMOCRATIC MOVEMENT,Provincial: Eastern Cape,1,DONALD TAMSANQA,TSENGWA,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
UNITED DEMOCRATIC MOVEMENT,Provincial: Eastern Cape,2,THANDO URSMOND,MPULU,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
UNITED DEMOCRATIC MOVEMENT,Provincial: Eastern Cape,3,MASIZA MAXWELL,MHLATI,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
UNITED DEMOCRATIC MOVEMENT,Provincial: Eastern Cape,4,IRENE NOMACHULE,QUVILE,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Free State,1,ELIAS SEKGOBELO,MAGASHULE,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,2,ELISA SISI,MABE,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,3,PULE HERBERT ISAK,MAKGOE,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,4,NOKWANJE SELINA,LEETO,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,5,BUTANA MOSES,KOMPHELA,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,6,SEFORA HIXSONIA,NTOMBELA,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,7,MOTETE DANIEL,KHOABANE,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,8,MOTLAGOMANG GRAZY,QABATHE,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,9,MALAMBULE SAMUEL,MASHININI,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,10,SARAH MATAWANA,MLAMLELI,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,11,MOSEBENZI JOSEPH,ZWANE,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,12,MALITABA SARAH,MOLELEKI,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,13,SIZWE ISAAK,MBALO,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,14,LUCY NOMBULELO,MAPENA,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,15,THABO PIET,MEEKO,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,16,ELIZABETH CORNELIA,ROCKMAN,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,17,BENJAMIN,MALAKOANE,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,18,LIMAKATSO PATRICIA,MAHASA,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,19,CORNELIS JOHANNES,VAN ROOYEN,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,20,CECILIA SHIRLEY KEDIINAMETSE,SECHOARO,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,21,MOJALEFA PATRICK,BUTI,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Free State,22,DORA,KOTZEE,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
DEMOCRATIC ALLIANCE,Provincial: Free State,1,ROY,JANKIELSOHN,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
DEMOCRATIC ALLIANCE,Provincial: Free State,2,DAVID EDWARD,JANSE VAN VUUREN,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
DEMOCRATIC ALLIANCE,Provincial: Free State,3,MARIETTE,PITTAWAY,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
DEMOCRATIC ALLIANCE,Provincial: Free State,4,LEHLOHONOLO JAMES,LETUKA,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
DEMOCRATIC ALLIANCE,Provincial: Free State,5,LEONA MARY,KLEYNHANS,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
ECONOMIC FREEDOM FIGHTERS,Provincial: Free State,1,MANDISA,MAKESINI,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
ECONOMIC FREEDOM FIGHTERS,Provincial: Free State,2,JACOB TSIETSI,TSHABALALA,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
VRYHEIDSFRONT PLUS,Provincial: Free State,1,WOUTER WYNAND,WESSELS,Free State Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Free State
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,1,MALEMOLLA DAVID,MAKHURA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,2,BARBARA DALLAS,CREECY,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,3,LENTHENG HELEN,MEKGWE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,4,GLADSTONE,NKOMFE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,5,NONHLANHLA FAITH,MAZIBUKO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,6,LEBOGANG ISAAC,MAILE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,7,ANTHONY HOPE MANKWANA,PAPO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,8,BRIAN,HLONGWA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,9,QEDANI DOROTHY,MAHLANGU,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,10,ANDREK,LESUFI,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,11,NOMVULA PAULA,MOKONYANE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,12,MXOLISI ERIC,XAYIYA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,13,NYAMEKA NANDI,MAYATHULA-KHOZA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,14,ISMAIL,VADI,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,15,PHALAMA JACOB,MAMABOLO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,16,MBONGENI,RADEBE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,17,THOKOZILE ELIZABETH,MAGAGULA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,18,NOMANTU,RALEHOKO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,19,MOLEBATSI FRANCES,BOPAPE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,20,JACOB,KHAWE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,21,EMELDA SIZAKELE,MALOBANE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,22,SOCHAYILE,KHANYILE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,23,MOLOKO MAGGIE,TLOU,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,24,DIKGANG VHURU,MOILOA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,25,JACQUELINE MOTLAGOMANG,MOFOKENG,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,26,MPAPA JEREMIA,KANYANE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,27,WALLY VALENTINE,MBATHA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,28,LANDIWE JANE,LASINDWA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,29,SAKHIWE VINCENT,KHUMALO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,30,ANNAH REFILWE,MOGALE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,31,COFFEE GODFREY,TSOTETSI,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,32,DOREEN ZAMANTUNGWA SBUSISIWE,SENOKOANYANE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,33,MOHATLA ALFRED,TSEKI,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,34,NOMPI LETIAH,NHLAPO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,35,ERROL VINCENT,MAGERMAN,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,36,NOMALIZO JOYCE,PEKANE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,37,JOE,MPISI,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,38,HANA DAISY,MASHEGO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,39,FANYANA MICHAEL,MADLALA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
AFRICAN NATIONAL CONGRESS,Provincial: Gauteng,40,GLORIA THANDI,MAHLANGU,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,1,JOHN CLIFFORD,MOODEY,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,2,JACK BRIAN,BLOOM,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,3,REFILOE,NTSEKHE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,4,MICHAEL SEAN,MORIARTY,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,5,ALAN JOSEPH,FUCHS,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,6,SOLLY TSHEPISO,MSIMANGA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,7,JANET AUDREY,SEMPLE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,8,GRAHAM ANTHONY KEITH,GERSBACH,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,9,ASHOR NICK,SARUPEN,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,10,GLENDA JANE,STEYN,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,11,MERVYN HYMAN,CIROTA,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,12,KATHERINE LOUISE,LORIMER,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,13,NKHUMENI,RAMULIFHO,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,14,FREDERIK PETRUS,NEL,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,15,AGATHA WILHELMINA,CILLIERS,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,16,LEBOGANG LUDWIG,MORE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,17,JANHO,ENGELBRECHT,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,18,NEIL GORDON,CAMPBELL,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,19,JUSTUS,DE GOEDE,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,20,Michéle Odette,Clarke,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
DEMOCRATIC ALLIANCE,Provincial: Gauteng,21,PAUL SAMUEL ROBERT,WILLEMBURG,Gauteng Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Gauteng
