Place Name,Place Type,Race Type,Old?,Alternative Names To Add,Existing Aspirant Person URL,Existing Aspirant Position ID,Existing Aspirant Person ID,Existing Aspirant External ID,Existing Aspirant Legal Name,Existing Aspirant Other Names,API Normalized Name,API Code,Action
,,,,,http://localhost:8000/person/lawrence-simbauni-ndombi/,6048,620,871739F7-A76C-E211-A5C8-005056870012,Lawrence Simbauni Ndombi,,LAWRENCE SIMBAUNI NDOMBI,871739F7-A76C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/paul-polland-olando/,6050,621,84FB4324-A66C-E211-A5C8-005056870012,Paul Polland Olando,,PAUL POLLAND OLANDO,84FB4324-A66C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/wycliffe-ambetsa-oparanyah/,6052,622,759CBEA9-486C-E211-A5C8-005056870012,Wycliffe Ambetsa Oparanyah,,WYCLIFFE AMBETSA OPARANYAH,759CBEA9-486C-E211-A5C8-005056870012,
,,,Old,Wycliffe Ambetsa Oparanyah,http://localhost:8000/person/wycliffe-oparanya/,5473,201,,Wycliffe Ambetsa Oparanya,Wycliffe Oparanya,,,
,,,Old,[endpos],http://localhost:8000/person/wycliffe-oparanya/,5472,201,,Wycliffe Ambetsa Oparanya,Wycliffe Oparanya,,,
,,,Old,[endpos],http://localhost:8000/person/soita-shitanda/,5620,207,9E95C437-B96C-E211-A5C8-005056870012,Peter Soita Shitanda,Soita Shitanda,,,
,,,,,,,,,,,SOITA PETER SHITANDA,9E95C437-B96C-E211-A5C8-005056870012,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
KAKAMEGA,County,Senator,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/anderson-ambindi-murunga/,6054,623,25CE0708-9C67-E211-8158-00505687000D,Anderson Ambindi Murunga,,ANDERSON AMBINDI MURUNGA,25CE0708-9C67-E211-8158-00505687000D,
,,,,,http://localhost:8000/person/anota-khasiani-shanyisa/,6060,626,889CBEA9-486C-E211-A5C8-005056870012,Anota Khasiani Shanyisa,,ANOTA KHASIANI SHANYISA,889CBEA9-486C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/boni-khalwale/,6058,625,70F9D94B-4E6C-E211-A5C8-005056870012,Boni Khalwale,,BONI KHALWALE,70F9D94B-4E6C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/shakhalaga-khwa-jirongo/,6056,624,034E2164-846C-E211-A5C8-005056870012,Shakhalaga Khwa Jirongo,,SHAKHALAGA KHWA JIRONGO,034E2164-846C-E211-A5C8-005056870012,
,,,Old,Boni Khalwale,http://localhost:8000/person/bonny-khalwale/,5471,170,,Bonny Khalwale,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
KIAMBU,County,Governor,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/charles-weru-gikaria/,6102,645,C8E7BEFE-AD6C-E211-A5C8-005056870012,Charles Weru Gikaria,,CHARLES WERU GIKARIA,C8E7BEFE-AD6C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/david-muhia-githii/,6100,644,57C3426B-4E69-E211-BA98-005056870012,David Muhia Githii,,DAVID MUHIA GITHII,57C3426B-4E69-E211-BA98-005056870012,
,,,,,http://localhost:8000/person/gakuru-kanyanja/,6097,643,8C00B5AE-C466-E211-A3B9-00505687000D,Gakuru Kanyanja,,GAKURU KANYANJA,8C00B5AE-C466-E211-A3B9-00505687000D,
,,,Old,,http://localhost:8000/person/william-kabogo/,5147,162,8F71DC5D-E26A-E211-A5C8-005056870012,William Kabogo Gitau,,WILLIAM KABOGO GITAU,8F71DC5D-E26A-E211-A5C8-005056870012,
,,,Old,,http://localhost:8000/person/bedan-mbugua/,5450,478,ECFB947D-0767-E211-A3B9-00505687000D,Bedan Mbugua,,,,
,,,Old,,http://localhost:8000/person/james-nyoro/,5408,470,6CECD0EB-906C-E211-A5C8-005056870012,James Nyoro,,,,
,,,Old,,http://localhost:8000/person/stanley-githunguri/,5466,21,,Stanley Munga Githunguri,Stanley Githunguri,,,
,,,Old,,http://localhost:8000/person/david-githii-muhia/,5446,477,,David Githii Muhia,Rev. David Githii,,,
,,,,,,,,,,,BEDAN NG'ANG'A MBUGUA,ECFB947D-0767-E211-A3B9-00505687000D,
,,,,,,,,,,,JAMES KARANJA NYORO,6CECD0EB-906C-E211-A5C8-005056870012,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
KILIFI,County,Governor,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/amason-jeffa-kingi/,6153,670,749CBEA9-486C-E211-A5C8-005056870012,Amason Jeffa Kingi,,AMASON JEFFA KINGI,749CBEA9-486C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/anthony-kingi-kazungu/,6144,665,3C7AB9F7-9467-E211-8158-00505687000D,Anthony Kingi Kazungu,,ANTHONY KINGI KAZUNGU,3C7AB9F7-9467-E211-8158-00505687000D,
,,,,,http://localhost:8000/person/francis-bayah/,6149,668,881C85E8-3569-E211-9497-005056870012,Francis Bayah,,FRANCIS BAYAH,881C85E8-3569-E211-9497-005056870012,
,,,,,http://localhost:8000/person/gabriel-katana-gona/,6159,673,BCD999B8-A46C-E211-A5C8-005056870012,Gabriel Katana Gona,,GABRIEL KATANA GONA,BCD999B8-A46C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/geoffrey-charo-kahindi-katsoleh/,6155,671,7EDCFD4C-D966-E211-A3B9-00505687000D,Geoffrey Charo Kahindi Katsoleh,,GEOFFREY CHARO KAHINDI KATSOLEH,7EDCFD4C-D966-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/john-mwapahe-lenga/,6157,672,F877E31F-B567-E211-8158-00505687000D,John Mwapahe Lenga,,JOHN MWAPAHE LENGA,F877E31F-B567-E211-8158-00505687000D,
,,,,,http://localhost:8000/person/john-safari-mumba/,6151,669,F6B25F40-936C-E211-A5C8-005056870012,John Safari Mumba,,JOHN SAFARI MUMBA,F6B25F40-936C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/lenno-mwambura-mbaga/,6145,666,E8E22CAD-BA6B-E211-A5C8-005056870012,Lenno Mwambura Mbaga,,LENNO MWAMBURA MBAGA,E8E22CAD-BA6B-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/michael-jefwa-tinga/,6147,667,43C0C867-A067-E211-8158-00505687000D,Michael Jefwa Tinga,,MICHAEL JEFWA TINGA,43C0C867-A067-E211-8158-00505687000D,
,,,Old,Amason Jeffa Kingi,http://localhost:8000/person/amason-kingi/,5625,27,,Amason Jeffah Kingi,Amason Kingi,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
KIRINYAGA,County,Governor,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/bedan-muriithi-kagai/,6211,699,C48348AE-BB66-E211-A3B9-00505687000D,Bedan Muriithi Kagai,,BEDAN MURIITHI KAGAI,C48348AE-BB66-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/james-kareu-kibicho/,6207,697,CA6DE73A-4A6D-E211-A5C8-005056870012,James Kareu Kibicho,,JAMES KAREU KIBICHO,CA6DE73A-4A6D-E211-A5C8-005056870012,
