County Code,,County,,,,,Const. Code,,,Constituency,,,,Full Names A,,,,,Full Names B,,,,,Party/Independent Candidate
30,,Baringo,,,,,160,,,Baringo South,,,,Grace Jelagat,,,,,Kipchoim,,,,,United Republican Party
30,,Baringo,,,,,161,,,Mogotio,,,,Hellen Jepkemoi,,,,,Sambili,,,,,Kenya African National Union
30,,Baringo,,,,,162,,,Eldama Ravine,,,,Moses K,,,,,Lessonet,,,,,United Republican Party
31,,Laikipia,,,,,163,,,Laikipia West,,,,Stephen Wachira,,,,,Karani,,,,,The National Alliance
31,,Laikipia,,,,,164,,,Laikipia East,,,,Anthony Mutahi,,,,,Kimaru,,,,,The National Alliance
31,,Laikipia,,,,,165,,,Laikipia North,,,,Mathew Lekidime,,,,,Lempurkel,,,,,Orange Democratic Movement
32,,Nakuru,,,,,166,,,Molo,,,,Jacob Waweru,,,,,Macharia,,,,,The National Alliance
32,,Nakuru,,,,,167,,,Njoro,,,,Joseph Kiuna Kariambeu,,,,,Ng'ang'a,,,,,The National Alliance
32,,Nakuru,,,,,168,,,Naivasha,,,,John Karanja,,,,,Kihagi,,,,,The National Alliance
32,,Nakuru,,,,,169,,,Gilgil,,,,Samuel Mathenge,,,,,Ndiritu,,,,,The National Alliance
32,,Nakuru,,,,,170,,,Kuresoi South,,,,Zakayo Kipkemoi,,,,,Cheruiyot,,,,,United Republican Party
32,,Nakuru,,,,,171,,,Kuresoi North,,,,Moses Kipkemboi,,,,,Cheboi,,,,,Kenya African National Union
32,,Nakuru,,,,,172,,,Subukia,,,,Nelson Ributhi,,,,,Gaicuhie,,,,,The National Alliance
32,,Nakuru,,,,,173,,,Rongai,,,,Kipruto,,,,,Moi,,,,,Kenya African National Union
32,,Nakuru,,,,,174,,,Bahati,,,,Onesmas Kimani,,,,,Ngunjiri,,,,,The National Alliance
32,,Nakuru,,,,,175,,,Nakuru Town West,,,,Samuel,,,,,Arama,,,,,Orange Democratic Movement
32,,Nakuru,,,,,176,,,Nakuru Town East,,,,David,,,,,Gikaria,,,,,The National Alliance
33,,Narok,,,,,177,,,Kilgoris,,,,Gideon Sitelu,,,,,Konchella,,,,,United Republican Party
33,,Narok,,,,,178,,,Emurua Dikirr,,,,Johana Ngeno,,,,,Kipyegon,,,,,Kenya National Congress
33,,Narok,,,,,179,,,Narok North,,,,Richard Moitalel Ole,,,,,Kenta,,,,,The National Alliance
33,,Narok,,,,,180,,,Narok East,,,,Lemanken,,,,,Aramat,,,,,United Republican Party
33,,Narok,,,,,181,,,Narok South,,,,Korei Ole,,,,,Lemein,,,,,United Republican Party
