current_name,correct_name,lga_areas
Kaita/Jibiya Constituency,Kaita / Jibiya Constituency,"Kaita, Jibia"
Oju / Obi,Oju / Obi,"Oju, Obi"
Orhionmwon/Uhunmwode,Orhionmwon / Uhunmwode,"Orhionmw, Uhunmwonde"
AGEGE,AGEGE,Agege
Abeokuta South,Abeokuta South,Abeokuta South
DUTSIN-MA/KURFI,DUTSIN-MA / KURFI,"Dutsin-M, Kurfi"
Mashi/Dutsi Constituency,Mashi / Dutsi Constituency,"Mashi, Dutsi"
Rano/Bunkure/Kibiya Federal Constituency,Rano / Bunkure / Kibiya Federal Constituency,"Rano, Bunkure, Kibiya Federal"
Bungudu/Maru,Bungudu / Maru,"Bungudu, Maru"
"Ikot Ekpene, Essien Udim, Obot Akara","Ikot Ekpene, Essien Udim, Obot Akara","Ikot-Ekp, Essien Udim, Obot Akara"
Jema'a /Sanga,Jema'a / Sanga,"Jema'a, Sanga"
Katsina Federal Constituency,Katsina Federal Constituency,Katsina (Gwiwa)
Yamaltu-Deba,Yamaltu-Deba,Yamaltu
Isa/S.Birni,Isa / S.Birni,"Isa, S.Birni"
Barakin-Ladi/Riyom,Barakin-Ladi / Riyom,"Barkin Ladi, Riyom"
Kauru,Kauru,Kauru
Degema/Bonny,Degema / Bonny,"Degema, Bonny"
Alimosho,Alimosho,Alimosho
Sagbama/Ekeremor,Sagbama / Ekeremor,"Sagbama, Ekeremor"
Igbo Etiti,Igbo Etiti,Igbo-Eti
OJO,OJO,Ojo
Jos North/Bassa Federal Constituency,Jos North / Bassa Federal Constituency,"Jos North, Bassa"
Sumaila/Takai,Sumaila / Takai,"Sumaila, Takai"
Yagba East/West,Yagba East / West,"Yagba East, West"
Abakaliki/Izzi,Abakaliki / Izzi,"Abakalik, Izzi"
AJEROMI/IFELODUN,AJEROMI / IFELODUN,"Ajeromi/Ifelodun, Ifelodun"
Dawakin-Tofa/Tofa/Rimin Gado,Dawakin-Tofa / Tofa / Rimin Gado,"DawakinT, Tofa, RiminGad"
DUTSE/KIYAWA,DUTSE / KIYAWA,"Dutse, Kiyawa"
Madagali / Michika,Madagali / Michika,"Madagali, Michika"
Aninri / Agwu / Oji-River,Aninri / Agwu / Oji-River,"Aninri, Awgu, Oji-River"
Bassa / Dekina,Bassa / Dekina,"Bassa, Dekina"
