ABA NORTH,Aba North
KAURA,Kauru
ISIALA MBANO,IsialaMb
ANIOCHA SOUTH,AniochaS
ORUMBA NORTH,OrumbaNo
ORUMBA SOUTH,OrumbaSo
ODO-OTIN,Odo0tin
IDEATO NORTH,IdeatoNo
AFIKPO SOUTH,AfikpoSo
IKA NORTH-EAST,IkaNorth
AWKA NORTH,AwkaNort
KATSINA,Katsina (K)
KATSINA-ALA,Katsina (Benue)
AKUKU-TORU,Akukutor
AKOKO EDO,Akoko-Ed
TANGAZA,Tangazar
AYADAADE,Ayedaade
AFIKPO NORTH,Abakalik
AWKA SOUTH,AwkaSout
ETSAKO EAST,EtsakoEa
ITAS-GADAU,Itas/Gad
ETSAKO WEST,EtsakoWe
BIRNIN KUDU,BirninKu
BIRNIN KEBBI,BirninKe
BIRNIN MAGAJI,Birnin-G
BIRNIN GWARI,Afikpo
NNEWI NORTH,NnewiNort
KOGI,Kuje
OTUKPO,Oturkpo
T/MAFARA,Magama
URUE OFFONG/ORUKO,UrueOffo
EMURE,Bwari
MARKURDI,Makurdi
MOGUNO,Monguno
KUJE AREA COUNCIL,Kwaya Kusar
LANTANG SOUTH,Langtang South
ESAN NORTH EAST,EsanNort
ATIGBO,Atisbo
K/NAMODA,Abua/Odu
K/HAUSA,Gamjuwa
K/KASAMMA,MalamMad
ILAJE,Edati
KWAYA,Kwali
SURULERE,Gumel
MASHEGU MAGAMA,Mashegu
BWARI AREA COUNCIL,Emure/Ise/Orun
GBONYIN,Gboyin
ILESA WEST,Ilesha West
ABUA-ODUAL,Gbako
IFELODUN,Sule-Tan
GUME,Gombi
IGO-EZE SOUTH,Igbo-eze South
RIMI GADO,RiminGad
YALA,Kano
SHONGOM,Shomgom
LAGOS MAINLAND,Mainland
GANJUWA,Gwagwala
CHACHANGA,Qua'anpa
EDATI-IDATI,DawakinT
TUDUN WADA,Tundun Wada
OBI,Dambatta
LANTANG NORTH,Langtang North
METROPOLITAN,Kotonkar
BASSA,Kabba/Bu
ATAKUNMOSA WEST,Atakumosa West
IHITE/UBOMA,Ihitte/U
S/TANKAR,KafinHau
OBIO AKPOR,Oboma Ngwa
OREDO,Oredo Edo
MUNICIPAL AREA COUNCIL,IlajeEseodo
SAGAMU,Shagamu
DAMABOA,Tambawal
TAFAWA BALEWA,Tafawa-B
QUA’AN PAN,Kaura-Na
M/MADORI,DawakinK
DAWAKIN,KiriKasa
DAWAKIN,Maidugur
GWAGWA AREA COUNCIL,Yala Cross
ILESA EAST,Ilesha East
KABBA,NnewiSou
IREPODUN,Danko Wasagu
DANBATTA,Talata-Mafara
ATAKUNMOSA EAST,Atakumosa East
KANO MUNICIPAL,Birnin-Magaji/Kiyaw
NASSARAWA,Nassaraw
OGO OLUWA,Ogo-Oluw
GWADABAWA,Chanchaga
ETHIOPE EAST,EthiopeE
BATAGI,Jahun
RINGIN,Ringim
NNEWI SOUTH,AbujaMun
JAUN,Girie
KWALI AREA COUNCIL,Lake chad
WASAGU/DANKO,Gwadabaw
ABAJI AREA COUNCIL,
